t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1606592622,3,2,1.035245,0,0.818968,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1606592632,7,6,3.171892,0,1.987192,3.000000,5.000000,6.000000,6.000000,6.000000,6.000000
1606592642,13,12,6.501632,0,3.693697,7.000000,10.000000,12.000000,12.000000,12.000000,12.000000
1606592652,15,14,7.679421,0,4.274017,8.000000,11.000000,14.000000,14.000000,14.000000,14.000000
1606592662,18,17,9.564540,0,5.147143,10.000000,14.000000,17.000000,17.000000,17.000000,17.000000
1606592672,21,20,11.537800,0,5.991073,12.000000,17.000000,20.000000,20.000000,20.000000,20.000000
