t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1606592622,2,3797.830246,2972.039173,2095.184031,850.940156,3797.830246,3797.830246,3797.830246,3797.830246,3797.830246,3797.830246,0.201413,0.200000,0.200000,0.200000,calls/second,milliseconds
1606592632,6,4178.004194,2825.848397,1750.951726,867.451581,2526.053520,3797.830246,4178.004194,4178.004194,4178.004194,4178.004194,0.301282,0.231982,0.206611,0.202216,calls/second,milliseconds
1606592642,12,4178.004194,2416.361642,1080.788953,889.606455,2464.934286,2779.382377,4178.004194,4178.004194,4178.004194,4178.004194,0.401151,0.259055,0.213006,0.204408,calls/second,milliseconds
1606592652,14,4178.004194,2627.069624,1080.788953,927.384808,2684.995262,3571.724922,4178.004194,4178.004194,4178.004194,4178.004194,0.350742,0.279414,0.219082,0.206563,calls/second,milliseconds
1606592662,17,4810.960365,2937.567434,1080.788953,1070.380283,2770.553337,3652.257912,4810.960365,4810.960365,4810.960365,4810.960365,0.340585,0.283213,0.221762,0.207598,calls/second,milliseconds
1606592672,20,4810.960365,2961.766138,1080.788953,984.800367,2779.382377,3660.033016,4810.960365,4810.960365,4810.960365,4810.960365,0.333804,0.270439,0.221049,0.207514,calls/second,milliseconds
